,in,out,fee
54,2023-04-01 12:31:17,2023-04-01 12:46:35,154
55,2023-04-01 12:46:47,2023-04-01 13:07:23,154
56,2023-04-01 12:53:23,2023-04-01 14:43:14,616
57,2023-04-01 12:54:49,2023-04-01 13:03:25,77
58,2023-04-01 13:09:35,2023-04-01 13:15:48,77
59,2023-04-01 13:18:58,2023-04-01 13:34:11,154
60,2023-04-01 13:20:07,2023-04-01 13:48:21,154
61,2023-04-01 13:23:40,2023-04-01 17:15:41,1232
62,2023-04-01 13:35:55,2023-04-01 13:42:33,77
63,2023-04-01 13:36:45,2023-04-01 13:48:17,77
64,2023-04-01 13:38:43,2023-04-01 15:23:59,616
65,2023-04-01 13:41:34,2023-04-01 15:00:15,462
66,2023-04-01 13:42:40,2023-04-01 14:04:02,154
67,2023-04-01 13:44:11,2023-04-01 14:03:57,154
68,2023-04-01 13:45:54,2023-04-01 14:32:19,308
69,2023-04-01 13:47:45,2023-04-01 13:57:11,77
70,2023-04-01 13:55:24,2023-04-01 18:58:25,1500
71,2023-04-01 13:57:09,2023-04-01 14:25:26,154
72,2023-04-01 13:58:32,2023-04-01 14:13:24,77
73,2023-04-01 14:18:59,2023-04-01 14:22:21,77
74,2023-04-01 14:19:05,2023-04-01 14:21:24,77
75,2023-04-01 14:20:41,2023-04-01 14:57:51,231
76,2023-04-01 14:37:45,2023-04-01 14:56:51,154
77,2023-04-01 14:37:46,2023-04-01 14:57:15,154
78,2023-04-01 14:39:40,2023-04-01 14:42:25,0
79,2023-04-01 14:42:37,2023-04-01 14:49:39,77
80,2023-04-01 14:43:39,2023-04-01 16:02:45,462
81,2023-04-01 15:05:04,2023-04-01 15:48:24,231
82,2023-04-01 15:16:31,2023-04-01 15:37:52,154
83,2023-04-01 15:16:56,2023-04-01 15:26:54,77
84,2023-04-01 15:17:26,2023-04-01 15:44:46,154
85,2023-04-01 15:18:38,2023-04-01 16:01:18,231
86,2023-04-01 15:20:38,2023-04-02 07:50:33,3154
87,2023-04-01 15:45:27,2023-04-01 15:46:32,77
88,2023-04-01 15:46:47,2023-04-01 17:43:36,616
89,2023-04-01 16:14:32,2023-04-01 16:27:08,77
90,2023-04-01 16:17:52,2023-04-01 16:30:20,77
91,2023-04-01 16:17:55,2023-04-01 16:30:26,77
92,2023-04-01 16:25:10,2023-04-01 16:41:40,154
93,2023-04-01 16:26:12,2023-04-01 16:38:22,77
94,2023-04-01 16:27:31,2023-04-01 16:47:18,154
95,2023-04-01 16:54:12,2023-04-01 17:14:37,154
96,2023-04-01 16:54:41,2023-04-01 17:36:45,231
97,2023-04-01 16:56:16,2023-04-01 17:07:25,77
98,2023-04-01 17:06:18,2023-04-01 17:56:19,308
99,2023-04-01 17:09:19,2023-04-01 19:23:55,693
100,2023-04-01 17:18:27,2023-04-01 17:29:23,77
101,2023-04-01 17:24:28,2023-04-01 17:37:48,77
102,2023-04-01 17:24:42,2023-04-01 17:37:51,77
103,2023-04-01 17:44:07,2023-04-01 18:01:29,154
104,2023-04-01 18:02:37,2023-04-01 18:10:36,77
105,2023-04-01 18:37:33,2023-04-01 18:50:18,77
106,2023-04-01 18:52:22,2023-04-01 19:03:44,77
107,2023-04-01 18:53:47,2023-04-01 22:42:13,1232
108,2023-04-01 18:59:56,2023-04-01 19:10:04,77
109,2023-04-01 19:06:12,2023-04-01 19:21:06,77
110,2023-04-01 19:40:34,2023-04-01 19:48:19,77
111,2023-04-01 19:41:20,2023-04-01 19:49:12,77
112,2023-04-01 19:50:46,2023-04-01 20:02:20,77
113,2023-04-01 19:59:12,2023-04-01 20:17:57,77
114,2023-04-01 19:59:39,2023-04-01 20:17:58,0
115,2023-04-01 20:15:41,2023-04-01 20:35:03,154
116,2023-04-01 20:21:45,2023-04-01 20:29:43,77
117,2023-04-01 20:36:39,2023-04-01 22:54:53,770
118,2023-04-01 20:37:00,2023-04-01 22:54:44,770
119,2023-04-01 20:54:30,2023-04-01 21:09:19,77
120,2023-04-01 20:59:49,2023-04-01 21:19:30,154
121,2023-04-01 21:23:04,2023-04-01 21:34:56,77
122,2023-04-01 21:38:42,2023-04-01 21:47:25,77
123,2023-04-01 22:09:55,2023-04-01 22:21:35,77
124,2023-04-01 22:18:12,2023-04-01 22:32:49,77
125,2023-04-01 22:43:11,2023-04-02 00:18:20,539
126,2023-04-01 23:17:03,2023-04-01 23:34:07,154
127,2023-04-01 23:25:28,2023-04-01 23:42:45,154
128,2023-04-02 00:22:26,2023-04-02 00:34:37,77
129,2023-04-02 00:30:29,2023-04-02 00:46:33,154
130,2023-04-02 00:42:26,2023-04-02 00:57:45,154
131,2023-04-02 00:46:53,2023-04-02 00:56:45,77
132,2023-04-02 00:49:18,2023-04-02 01:03:34,77
133,2023-04-02 01:17:05,2023-04-02 01:25:53,77
134,2023-04-02 06:58:33,2023-04-02 07:05:27,77
135,2023-04-02 08:44:54,2023-04-02 08:52:42,77
136,2023-04-02 09:17:32,2023-04-02 17:15:05,1500
137,2023-04-02 09:23:20,2023-04-02 09:32:24,77
138,2023-04-02 09:38:16,2023-04-02 12:44:53,1001
139,2023-04-02 10:08:20,2023-04-02 10:26:31,154
140,2023-04-02 10:20:24,2023-04-02 10:31:19,77
141,2023-04-02 10:28:27,2023-04-02 10:43:06,77
142,2023-04-02 10:36:09,2023-04-02 10:47:04,77
143,2023-04-02 10:42:25,2023-04-02 11:01:53,154
144,2023-04-02 10:42:45,2023-04-02 11:01:46,154
145,2023-04-02 10:44:41,2023-04-02 10:55:20,77
146,2023-04-02 10:45:00,2023-04-02 12:46:13,693
147,2023-04-02 10:49:48,2023-04-02 10:55:25,77
148,2023-04-02 10:58:52,2023-04-02 14:04:52,1001
149,2023-04-02 11:34:38,2023-04-02 13:12:07,539
150,2023-04-02 11:53:30,2023-04-02 13:12:17,462
151,2023-04-02 11:59:56,2023-04-02 12:13:19,77
152,2023-04-02 12:07:36,2023-04-02 14:04:29,616
153,2023-04-02 12:16:35,2023-04-02 12:37:16,154
154,2023-04-02 12:20:23,2023-04-02 13:59:45,539
155,2023-04-02 12:28:34,2023-04-02 12:50:16,154
156,2023-04-02 12:30:10,2023-04-02 13:37:50,385
157,2023-04-02 12:30:12,2023-04-02 13:37:41,385
158,2023-04-02 12:52:58,2023-04-02 13:04:16,77
159,2023-04-02 12:55:43,2023-04-02 13:05:40,77
160,2023-04-02 13:12:25,2023-04-02 13:22:22,77
161,2023-04-02 13:29:01,2023-04-02 16:38:22,1001
162,2023-04-02 13:38:46,2023-04-02 14:15:40,231
163,2023-04-02 13:41:02,2023-04-02 13:56:51,154
164,2023-04-02 13:43:08,2023-04-02 14:41:03,308
165,2023-04-02 13:43:23,2023-04-02 14:40:29,308
166,2023-04-02 13:52:01,2023-04-02 14:06:09,77
167,2023-04-02 14:10:35,2023-04-02 14:50:23,231
168,2023-04-02 14:27:34,2023-04-02 14:32:13,77
169,2023-04-02 14:39:35,2023-04-02 14:49:39,77
170,2023-04-02 14:42:08,2023-04-02 18:45:57,1309
171,2023-04-02 14:42:26,2023-04-02 18:46:29,1309
172,2023-04-02 15:09:00,2023-04-02 15:46:16,231
173,2023-04-02 15:09:35,2023-04-02 16:34:27,462
174,2023-04-02 15:13:04,2023-04-02 15:41:45,154
175,2023-04-02 15:24:29,2023-04-02 15:50:08,154
176,2023-04-02 15:27:45,2023-04-02 15:49:19,154
177,2023-04-02 15:52:48,2023-04-02 15:56:41,77
178,2023-04-02 16:02:33,2023-04-02 16:21:24,154
179,2023-04-02 16:03:02,2023-04-02 16:21:45,154
180,2023-04-02 16:08:38,2023-04-02 18:02:06,616
181,2023-04-02 16:17:48,2023-04-02 16:30:38,77
182,2023-04-02 16:24:17,2023-04-02 16:30:29,77
183,2023-04-02 16:25:09,2023-04-02 17:02:36,231
184,2023-04-02 16:26:59,2023-04-02 17:44:57,462
185,2023-04-02 16:40:51,2023-04-02 16:51:30,77
186,2023-04-02 16:58:25,2023-04-02 17:13:12,77
187,2023-04-02 17:02:55,2023-04-02 17:11:48,77
188,2023-04-02 17:07:19,2023-04-02 17:32:08,154
189,2023-04-02 17:13:58,2023-04-02 17:23:46,77
190,2023-04-02 17:36:23,2023-04-02 17:50:50,77
191,2023-04-02 17:47:37,2023-04-02 17:56:27,77
192,2023-04-02 17:54:16,2023-04-02 17:56:03,77
193,2023-04-02 17:57:49,2023-04-02 18:06:11,77
194,2023-04-02 18:36:58,2023-04-02 19:05:32,154
195,2023-04-02 19:01:00,2023-04-02 19:21:04,154
196,2023-04-02 19:22:07,2023-04-02 19:32:22,77
197,2023-04-02 19:22:52,2023-04-02 19:32:45,77
198,2023-04-02 19:23:02,2023-04-02 19:32:56,77
199,2023-04-02 20:06:06,2023-04-02 20:18:37,77
200,2023-04-02 20:41:34,2023-04-02 21:15:34,231
201,2023-04-02 20:48:08,2023-04-02 20:57:58,77
202,2023-04-02 21:11:23,2023-04-02 21:21:28,77
203,2023-04-02 21:27:43,2023-04-02 22:12:01,231
204,2023-04-02 21:51:58,2023-04-02 22:11:01,154
205,2023-04-02 22:17:04,2023-04-02 22:33:37,154
206,2023-04-03 00:20:22,2023-04-03 00:30:05,77
207,2023-04-03 05:55:14,2023-04-03 06:06:08,77
208,2023-04-03 06:44:09,2023-04-03 06:54:44,77
209,2023-04-03 06:58:22,2023-04-03 07:04:24,77
210,2023-04-03 07:06:40,2023-04-03 07:12:34,77
211,2023-04-03 07:55:45,2023-04-03 08:18:18,154
212,2023-04-03 08:05:19,2023-04-03 08:11:27,77
213,2023-04-03 08:29:04,2023-04-03 08:40:34,77
214,2023-04-03 08:49:08,2023-04-03 09:01:11,77
215,2023-04-03 08:56:30,2023-04-03 09:17:26,154
216,2023-04-03 09:06:01,2023-04-03 09:13:25,77
217,2023-04-03 09:27:59,2023-04-03 09:39:45,77
218,2023-04-03 09:49:33,2023-04-03 11:37:16,616
219,2023-04-03 10:37:39,2023-04-03 12:56:46,770
220,2023-04-03 10:39:59,2023-04-03 11:05:50,154
221,2023-04-03 11:20:55,2023-04-03 11:53:52,231
222,2023-04-03 11:53:34,2023-04-03 13:08:59,462
223,2023-04-03 12:13:47,2023-04-03 14:17:14,693
224,2023-04-03 12:36:47,2023-04-03 12:52:43,154
225,2023-04-03 12:37:33,2023-04-03 12:48:18,77
226,2023-04-03 12:58:02,2023-04-03 18:31:19,1500
227,2023-04-03 12:58:27,2023-04-03 17:43:01,1463
228,2023-04-03 13:05:58,2023-04-03 13:51:47,308
229,2023-04-03 13:20:49,2023-04-03 13:31:24,77
230,2023-04-03 13:34:17,2023-04-03 13:50:06,154
231,2023-04-03 13:38:02,2023-04-03 13:45:32,77
232,2023-04-03 13:56:27,2023-04-03 15:03:09,385
233,2023-04-03 14:05:27,2023-04-03 14:14:02,77
234,2023-04-03 14:06:06,2023-04-03 14:20:03,77
235,2023-04-03 14:10:59,2023-04-03 14:19:51,77
236,2023-04-03 14:24:23,2023-04-03 14:41:21,154
237,2023-04-03 14:45:36,2023-04-03 15:09:07,154
238,2023-04-03 15:06:15,2023-04-03 15:13:15,77
239,2023-04-03 15:12:16,2023-04-03 15:21:21,77
240,2023-04-03 15:20:15,2023-04-03 20:12:01,1500
241,2023-04-03 15:35:16,2023-04-03 15:45:49,77
242,2023-04-03 15:48:22,2023-04-03 17:02:15,385
243,2023-04-03 15:54:40,2023-04-03 17:04:57,385
244,2023-04-03 15:58:20,2023-04-03 17:44:28,616
245,2023-04-03 16:30:02,2023-04-03 19:20:31,924
246,2023-04-03 16:30:09,2023-04-03 16:42:07,77
247,2023-04-03 16:33:07,2023-04-03 18:40:19,693
248,2023-04-03 16:42:27,2023-04-03 19:20:30,847
249,2023-04-03 16:59:57,2023-04-03 17:51:56,308
250,2023-04-03 17:02:56,2023-04-03 17:13:13,77
251,2023-04-03 17:12:55,2023-04-03 17:22:38,77
252,2023-04-03 17:30:47,2023-04-03 17:50:03,154
253,2023-04-03 17:39:49,2023-04-03 18:00:03,154
254,2023-04-03 17:49:23,2023-04-03 18:03:08,77
255,2023-04-03 18:01:22,2023-04-03 18:13:23,77
256,2023-04-03 18:04:20,2023-04-03 18:17:16,77
257,2023-04-03 18:07:39,2023-04-03 18:42:23,231
258,2023-04-03 18:08:42,2023-04-03 18:16:29,77
259,2023-04-03 18:11:24,2023-04-03 18:23:58,77
260,2023-04-03 18:13:12,2023-04-03 18:22:53,77
261,2023-04-03 18:33:18,2023-04-03 18:44:55,77
262,2023-04-03 19:17:14,2023-04-03 19:27:31,77
263,2023-04-03 19:24:59,2023-04-03 19:31:39,77
264,2023-04-03 19:36:48,2023-04-03 19:44:58,77
265,2023-04-03 19:49:02,2023-04-03 19:55:35,77
266,2023-04-03 20:14:14,2023-04-03 20:22:53,77
267,2023-04-03 20:23:17,2023-04-03 22:15:09,616
268,2023-04-03 20:41:08,2023-04-03 20:57:28,154
269,2023-04-03 20:44:17,2023-04-03 20:52:28,77
270,2023-04-03 20:54:43,2023-04-03 21:08:41,77
271,2023-04-03 21:44:07,2023-04-03 21:52:12,77
272,2023-04-03 21:56:10,2023-04-03 22:08:02,77
273,2023-04-03 22:00:54,2023-04-03 22:09:11,77
274,2023-04-03 22:10:02,2023-04-03 22:16:12,77
275,2023-04-03 22:38:09,2023-04-03 22:46:25,77
276,2023-04-03 22:39:46,2023-04-03 22:48:00,77
277,2023-04-03 22:50:00,2023-04-03 22:56:40,77
278,2023-04-03 22:52:44,2023-04-03 23:06:44,77
279,2023-04-03 23:16:44,2023-04-03 23:24:04,77
280,2023-04-04 06:44:58,2023-04-04 06:52:31,77
281,2023-04-04 06:50:14,2023-04-04 06:56:19,77
282,2023-04-04 07:03:07,2023-04-04 07:09:15,77
283,2023-04-04 07:25:09,2023-04-04 07:37:19,77
284,2023-04-04 07:46:43,2023-04-04 07:53:56,77
285,2023-04-04 07:48:13,2023-04-04 08:09:10,154
286,2023-04-04 07:53:30,2023-04-04 08:03:43,77
287,2023-04-04 08:16:16,2023-04-04 08:20:51,77
288,2023-04-04 08:21:58,2023-04-04 08:39:30,154
289,2023-04-04 08:35:14,2023-04-04 08:44:30,77
290,2023-04-04 08:36:36,2023-04-04 08:50:07,77
291,2023-04-04 08:48:00,2023-04-04 09:15:27,154
292,2023-04-04 09:24:25,2023-04-04 09:33:04,77
293,2023-04-04 09:28:04,2023-04-04 09:36:41,77
294,2023-04-04 09:32:09,2023-04-04 10:35:11,385
295,2023-04-04 09:53:48,2023-04-04 09:55:23,77
296,2023-04-04 10:18:39,2023-04-04 10:28:07,77
297,2023-04-04 10:22:37,2023-04-04 10:36:02,77
298,2023-04-04 10:27:11,2023-04-04 10:34:13,77
299,2023-04-04 10:53:47,2023-04-04 11:08:37,77
300,2023-04-04 11:05:42,2023-04-04 11:35:37,154
301,2023-04-04 11:27:24,2023-04-04 15:04:54,1155
302,2023-04-04 11:27:41,2023-04-04 11:36:48,77
303,2023-04-04 11:33:24,2023-04-04 12:00:13,154
304,2023-04-04 11:41:32,2023-04-04 11:49:17,77
305,2023-04-04 11:50:22,2023-04-04 11:59:59,77
306,2023-04-04 12:11:30,2023-04-04 12:19:42,77
307,2023-04-04 12:16:46,2023-04-04 12:49:47,231
308,2023-04-04 12:17:16,2023-04-04 12:50:13,231
309,2023-04-04 12:18:15,2023-04-04 12:49:35,231
310,2023-04-04 12:40:05,2023-04-04 13:53:31,385
311,2023-04-04 12:52:56,2023-04-04 13:01:31,77
312,2023-04-04 12:59:30,2023-04-04 13:12:27,77
313,2023-04-04 13:00:11,2023-04-04 13:57:28,308
314,2023-04-04 13:00:19,2023-04-04 13:58:10,308
315,2023-04-04 13:16:52,2023-04-04 15:45:10,770
316,2023-04-04 13:21:14,2023-04-04 13:29:27,77
317,2023-04-04 13:27:16,2023-04-04 14:44:47,462
318,2023-04-04 13:47:33,2023-04-04 13:54:00,77
319,2023-04-04 14:04:56,2023-04-04 14:13:15,77
320,2023-04-04 14:13:29,2023-04-04 14:48:15,231
321,2023-04-04 15:05:09,2023-04-04 15:12:20,77
322,2023-04-04 15:21:27,2023-04-04 16:01:35,231
323,2023-04-04 15:27:14,2023-04-04 18:10:56,847
324,2023-04-04 15:38:07,2023-04-04 16:06:25,154
325,2023-04-04 15:38:36,2023-04-04 16:07:14,154
326,2023-04-04 15:40:53,2023-04-04 15:52:53,77
327,2023-04-04 15:52:57,2023-04-04 16:19:12,154
328,2023-04-04 15:53:25,2023-04-04 16:18:47,154
329,2023-04-04 16:13:27,2023-04-04 17:02:29,308
330,2023-04-04 16:35:14,2023-04-04 16:42:20,77
331,2023-04-04 16:47:44,2023-04-04 17:10:10,154
332,2023-04-04 17:11:43,2023-04-04 17:27:43,154
333,2023-04-04 17:16:45,2023-04-04 17:24:11,77
334,2023-04-04 17:22:14,2023-04-04 18:31:21,385
335,2023-04-04 17:23:29,2023-04-04 17:38:46,154
336,2023-04-04 17:24:43,2023-04-04 17:31:12,77
337,2023-04-04 17:35:07,2023-04-04 17:47:50,77
338,2023-04-04 17:40:57,2023-04-04 17:53:56,77
339,2023-04-04 18:07:04,2023-04-04 18:21:05,77
340,2023-04-04 18:07:09,2023-04-04 18:16:02,77
341,2023-04-04 18:12:40,2023-04-04 18:30:39,154
342,2023-04-04 18:18:01,2023-04-04 19:07:01,308
343,2023-04-04 18:39:21,2023-04-04 18:59:57,154
344,2023-04-04 18:44:46,2023-04-04 18:53:14,77
345,2023-04-04 18:45:42,2023-04-04 20:26:47,539
346,2023-04-04 18:56:10,2023-04-04 19:03:03,77
347,2023-04-04 19:04:09,2023-04-04 19:13:20,77
348,2023-04-04 19:07:10,2023-04-04 19:53:34,308
349,2023-04-04 19:16:17,2023-04-04 19:22:30,77
350,2023-04-04 19:21:03,2023-04-04 19:27:17,77
351,2023-04-04 19:23:47,2023-04-04 22:01:08,847
352,2023-04-04 19:57:06,2023-04-04 20:07:38,77
353,2023-04-04 20:03:39,2023-04-04 20:10:38,77
354,2023-04-04 20:17:25,2023-04-04 20:29:00,77
355,2023-04-04 21:13:21,2023-04-04 21:35:05,154
356,2023-04-04 21:24:18,2023-04-04 21:39:00,77
357,2023-04-04 21:44:11,2023-04-04 21:52:41,77
358,2023-04-04 23:02:37,2023-04-04 23:13:36,77
359,2023-04-05 00:30:06,2023-04-05 00:37:50,77
360,2023-04-05 01:00:38,2023-04-05 01:19:57,154
361,2023-04-05 06:46:46,2023-04-05 06:54:45,77
362,2023-04-05 06:57:16,2023-04-05 07:03:06,77
363,2023-04-05 07:24:54,2023-04-05 07:38:57,77
364,2023-04-05 07:42:54,2023-04-05 07:56:09,77
365,2023-04-05 07:44:33,2023-04-05 07:51:22,77
366,2023-04-05 07:46:48,2023-04-05 07:53:50,77
367,2023-04-05 07:48:50,2023-04-05 08:05:16,154
368,2023-04-05 07:51:13,2023-04-05 07:56:36,77
369,2023-04-05 07:57:12,2023-04-05 08:07:48,77
370,2023-04-05 07:57:57,2023-04-05 08:06:01,77
371,2023-04-05 08:09:04,2023-04-05 08:23:16,77
372,2023-04-05 08:20:40,2023-04-05 08:38:34,154
373,2023-04-05 09:07:39,2023-04-05 12:07:51,1001
374,2023-04-05 09:11:25,2023-04-05 09:18:32,77
375,2023-04-05 09:30:04,2023-04-05 09:37:18,77
376,2023-04-05 09:41:06,2023-04-05 09:49:19,77
377,2023-04-05 09:42:01,2023-04-05 09:50:51,77
378,2023-04-05 09:42:57,2023-04-05 11:22:27,539
379,2023-04-05 09:51:13,2023-04-05 11:22:25,539
380,2023-04-05 10:16:17,2023-04-05 10:21:42,77
381,2023-04-05 10:34:34,2023-04-05 10:45:58,77
382,2023-04-05 11:23:00,2023-04-05 19:25:32,1577
383,2023-04-05 11:28:43,2023-04-05 19:25:27,1500
384,2023-04-05 11:59:38,2023-04-05 12:31:32,231
385,2023-04-05 12:13:42,2023-04-05 13:07:50,308
386,2023-04-05 12:52:58,2023-04-05 13:06:17,77
387,2023-04-05 14:56:22,2023-04-05 15:08:21,77
388,2023-04-05 15:21:52,2023-04-05 15:46:19,154
389,2023-04-05 15:22:06,2023-04-05 15:47:09,154
390,2023-04-05 15:22:21,2023-04-05 15:46:21,154
391,2023-04-05 16:14:55,2023-04-05 17:14:06,308
392,2023-04-05 16:15:29,2023-04-05 17:13:40,308
393,2023-04-05 16:24:01,2023-04-05 16:36:18,77
394,2023-04-05 17:25:51,2023-04-05 17:44:03,154
395,2023-04-05 17:25:53,2023-04-05 17:37:16,77
396,2023-04-05 17:31:45,2023-04-05 17:46:31,77
397,2023-04-05 17:44:06,2023-04-05 17:54:40,77
398,2023-04-05 17:53:50,2023-04-05 18:07:39,77
399,2023-04-05 18:04:31,2023-04-05 18:16:00,77
400,2023-04-05 18:04:33,2023-04-05 18:13:51,77
401,2023-04-05 18:13:14,2023-04-05 18:21:52,77
402,2023-04-05 18:20:44,2023-04-05 18:34:27,77
403,2023-04-05 18:22:53,2023-04-05 18:54:54,231
404,2023-04-05 18:26:40,2023-04-05 18:36:19,77
405,2023-04-05 19:01:58,2023-04-05 19:11:17,77
406,2023-04-05 19:20:00,2023-04-05 20:35:53,462
407,2023-04-05 19:38:20,2023-04-05 19:45:24,77
408,2023-04-05 19:55:48,2023-04-05 20:12:03,154
409,2023-04-05 20:03:18,2023-04-05 20:26:47,154
410,2023-04-05 20:19:23,2023-04-05 21:02:18,231
411,2023-04-05 20:26:15,2023-04-05 20:33:50,77
412,2023-04-05 20:40:36,2023-04-05 20:50:17,77
413,2023-04-05 20:44:34,2023-04-05 20:58:36,77
414,2023-04-05 20:46:52,2023-04-05 21:08:55,154
415,2023-04-05 20:47:17,2023-04-05 20:51:59,77
416,2023-04-05 20:47:38,2023-04-05 20:56:56,77
417,2023-04-05 21:10:12,2023-04-05 21:27:22,154
418,2023-04-05 21:35:01,2023-04-05 21:42:49,77
419,2023-04-05 22:05:28,2023-04-05 22:17:01,77
420,2023-04-05 22:10:48,2023-04-05 22:33:19,154
421,2023-04-05 22:30:20,2023-04-05 22:43:08,77
422,2023-04-05 22:42:40,2023-04-05 22:51:44,77
423,2023-04-05 22:45:41,2023-04-05 22:53:05,77
424,2023-04-05 23:02:02,2023-04-05 23:08:16,77
425,2023-04-05 23:55:22,2023-04-06 00:03:27,77
426,2023-04-06 00:11:14,2023-04-06 00:17:20,77
427,2023-04-06 00:23:54,2023-04-06 00:33:01,77
428,2023-04-06 06:03:50,2023-04-06 22:48:34,77
429,2023-04-06 06:51:38,2023-04-06 06:57:45,77
430,2023-04-06 07:03:50,2023-04-06 07:15:30,77
431,2023-04-06 07:04:34,2023-04-06 07:14:07,77
432,2023-04-06 07:24:57,2023-04-06 07:36:10,77
433,2023-04-06 07:26:14,2023-04-06 07:38:25,77
434,2023-04-06 07:26:51,2023-04-06 07:38:34,77
435,2023-04-06 07:58:19,2023-04-06 08:12:53,77
436,2023-04-06 08:08:15,2023-04-06 08:15:03,77
437,2023-04-06 08:10:56,2023-04-06 08:25:02,77
438,2023-04-06 08:20:09,2023-04-06 08:39:02,154
439,2023-04-06 08:30:26,2023-04-06 08:41:15,77
440,2023-04-06 08:41:57,2023-04-06 08:52:17,77
441,2023-04-06 08:53:32,2023-04-06 09:01:35,77
442,2023-04-06 08:54:47,2023-04-06 09:03:24,77
443,2023-04-06 09:14:06,2023-04-06 09:26:50,77
444,2023-04-06 09:14:54,2023-04-06 09:44:45,154
445,2023-04-06 09:32:45,2023-04-06 09:43:09,77
446,2023-04-06 09:36:12,2023-04-06 17:58:59,1654
447,2023-04-06 09:37:03,2023-04-06 17:57:49,1654
448,2023-04-06 09:54:03,2023-04-06 10:03:13,77
449,2023-04-06 09:58:24,2023-04-06 10:25:13,154
450,2023-04-06 09:59:32,2023-04-06 10:27:19,154
451,2023-04-06 10:05:48,2023-04-06 10:16:45,77
452,2023-04-06 10:08:16,2023-04-06 10:10:11,77
453,2023-04-06 10:11:17,2023-04-06 10:33:01,154
454,2023-04-06 10:23:57,2023-04-06 10:33:00,77
455,2023-04-06 10:31:06,2023-04-06 10:40:34,77
456,2023-04-06 11:13:13,2023-04-06 11:24:38,77
457,2023-04-06 12:06:03,2023-04-06 13:04:02,308
458,2023-04-06 12:55:14,2023-04-06 13:11:54,154
459,2023-04-06 13:02:45,2023-04-06 16:11:14,1001
460,2023-04-06 13:06:00,2023-04-06 13:17:57,77
461,2023-04-06 13:24:30,2023-04-06 13:34:10,77
462,2023-04-06 13:53:43,2023-04-06 14:03:42,77
463,2023-04-06 15:19:40,2023-04-06 17:07:44,616
464,2023-04-06 15:34:50,2023-04-06 15:47:38,77
