,in,out,fee
92,2022-04-02 21:19:03,2022-04-02 21:29:43,77
93,2022-04-02 21:38:18,2022-04-02 21:47:18,77
94,2022-04-02 21:50:05,2022-04-03 01:30:44,1155
95,2022-04-02 21:50:12,2022-04-02 22:00:45,77
96,2022-04-02 21:50:18,2022-04-02 22:00:44,77
97,2022-04-02 22:09:32,2022-04-02 22:19:09,77
98,2022-04-02 22:45:35,2022-04-02 23:09:08,154
99,2022-04-03 06:28:41,2022-04-03 08:34:04,693
100,2022-04-03 07:38:22,2022-04-03 14:49:50,1500
101,2022-04-03 07:58:14,2022-04-03 08:10:06,77
102,2022-04-03 08:08:40,2022-04-03 11:29:37,1078
103,2022-04-03 08:28:05,2022-04-03 08:39:08,77
104,2022-04-03 08:48:17,2022-04-03 08:59:55,77
105,2022-04-03 09:27:09,2022-04-03 09:51:47,154
106,2022-04-03 09:35:27,2022-04-03 09:43:59,77
107,2022-04-03 09:36:02,2022-04-03 09:56:24,154
108,2022-04-03 09:36:03,2022-04-03 09:56:35,154
109,2022-04-03 09:36:09,2022-04-03 09:56:20,154
110,2022-04-03 09:56:02,2022-04-03 10:40:38,231
111,2022-04-03 10:05:21,2022-04-03 10:19:04,77
112,2022-04-03 10:56:04,2022-04-03 11:15:42,154
113,2022-04-03 11:27:05,2022-04-03 11:35:36,77
114,2022-04-03 12:01:04,2022-04-03 13:05:03,385
115,2022-04-03 12:03:41,2022-04-03 12:15:45,77
116,2022-04-03 14:36:52,2022-04-03 14:49:58,77
117,2022-04-03 15:48:36,2022-04-03 16:03:05,77
118,2022-04-03 17:23:18,2022-04-03 21:08:47,1232
119,2022-04-03 17:36:17,2022-04-03 17:44:06,77
120,2022-04-03 19:08:55,2022-04-03 19:58:02,308
121,2022-04-03 19:46:49,2022-04-03 19:53:15,77
122,2022-04-03 19:51:41,2022-04-03 20:01:37,77
123,2022-04-03 21:25:20,2022-04-03 21:36:37,77
124,2022-04-03 22:37:32,2022-04-03 22:47:04,77
125,2022-04-03 23:22:59,2022-04-03 23:36:35,77
126,2022-04-04 11:23:53,2022-04-04 12:20:06,308
127,2022-04-04 11:39:00,2022-04-04 11:54:43,154
128,2022-04-04 14:51:28,2022-04-04 15:06:59,154
129,2022-04-04 19:13:08,2022-04-04 19:24:43,77
130,2022-04-04 20:20:39,2022-04-04 20:28:31,77
131,2022-04-04 22:53:43,2022-04-04 23:03:51,77
132,2022-04-05 00:42:00,2022-04-05 00:54:36,77
133,2022-04-05 06:34:44,2022-04-05 06:42:35,77
134,2022-04-05 07:37:55,2022-04-05 07:51:25,77
135,2022-04-05 07:51:04,2022-04-05 08:02:25,77
136,2022-04-05 07:58:33,2022-04-05 08:08:02,77
137,2022-04-05 08:56:35,2022-04-05 09:05:14,77
138,2022-04-05 09:34:22,2022-04-05 09:42:19,77
139,2022-04-05 10:13:20,2022-04-05 10:24:53,77
140,2022-04-05 10:17:23,2022-04-05 10:28:40,77
141,2022-04-05 10:23:54,2022-04-05 10:44:41,154
142,2022-04-05 10:24:46,2022-04-05 10:33:07,77
143,2022-04-05 10:33:37,2022-04-05 10:43:37,77
144,2022-04-05 10:57:07,2022-04-05 11:08:55,77
145,2022-04-05 11:03:27,2022-04-05 11:56:27,308
146,2022-04-05 11:29:15,2022-04-05 12:21:32,308
147,2022-04-05 11:29:59,2022-04-05 12:21:28,308
148,2022-04-05 11:38:57,2022-04-05 11:45:50,77
149,2022-04-05 12:18:02,2022-04-05 12:26:40,77
150,2022-04-05 12:23:46,2022-04-05 12:41:09,154
151,2022-04-05 12:24:29,2022-04-05 12:41:42,154
152,2022-04-05 12:35:32,2022-04-05 12:48:18,77
153,2022-04-05 13:04:46,2022-04-05 15:40:20,847
154,2022-04-05 13:04:50,2022-04-05 15:41:06,847
155,2022-04-05 13:40:49,2022-04-05 15:22:06,539
156,2022-04-05 13:49:05,2022-04-05 14:16:50,154
157,2022-04-05 13:49:26,2022-04-05 14:13:51,154
158,2022-04-05 13:58:16,2022-04-05 14:07:25,77
159,2022-04-05 14:52:14,2022-04-05 19:48:03,1500
160,2022-04-05 15:14:49,2022-04-05 16:18:31,385
161,2022-04-05 15:20:45,2022-04-05 15:42:57,154
162,2022-04-05 15:28:19,2022-04-05 16:39:10,385
163,2022-04-05 15:41:07,2022-04-05 15:51:09,77
164,2022-04-05 16:18:48,2022-04-05 16:42:25,154
165,2022-04-05 16:54:36,2022-04-05 17:04:39,77
166,2022-04-05 18:22:30,2022-04-05 18:31:31,77
167,2022-04-05 18:22:37,2022-04-05 18:29:25,77
168,2022-04-05 18:23:28,2022-04-05 18:49:53,154
169,2022-04-05 18:54:34,2022-04-05 19:05:05,77
170,2022-04-05 19:07:08,2022-04-05 19:23:11,154
171,2022-04-05 19:22:35,2022-04-05 19:30:45,77
172,2022-04-05 19:38:04,2022-04-05 19:50:57,77
173,2022-04-05 20:49:38,2022-04-05 20:56:28,77
174,2022-04-05 21:19:25,2022-04-05 21:30:44,77
175,2022-04-05 21:45:51,2022-04-05 21:55:14,77
176,2022-04-05 22:10:43,2022-04-05 22:24:45,77
177,2022-04-05 22:23:09,2022-04-05 22:29:29,77
178,2022-04-05 22:26:34,2022-04-05 22:35:34,77
179,2022-04-05 22:50:21,2022-04-05 22:59:35,77
180,2022-04-05 22:50:58,2022-04-05 23:00:22,77
181,2022-04-06 00:28:14,2022-04-06 00:39:50,77
182,2022-04-06 05:59:51,2022-04-06 06:08:00,77
183,2022-04-06 07:08:31,2022-04-06 07:22:03,77
184,2022-04-06 07:58:34,2022-04-06 08:08:46,77
185,2022-04-06 08:16:46,2022-04-06 08:31:17,77
186,2022-04-06 08:45:52,2022-04-06 08:55:02,77
187,2022-04-06 08:50:35,2022-04-06 09:01:34,77
188,2022-04-06 09:27:23,2022-04-06 09:36:16,77
189,2022-04-06 10:38:19,2022-04-06 12:50:22,693
190,2022-04-06 10:51:11,2022-04-06 11:26:00,231
191,2022-04-06 11:17:32,2022-04-06 11:33:54,154
192,2022-04-06 12:12:06,2022-04-06 12:21:39,77
193,2022-04-06 12:13:12,2022-04-06 12:56:10,231
194,2022-04-06 12:21:44,2022-04-06 12:28:05,77
195,2022-04-06 12:22:00,2022-04-06 12:26:44,77
196,2022-04-06 12:41:46,2022-04-06 17:10:51,1386
197,2022-04-06 12:55:05,2022-04-06 13:54:05,308
198,2022-04-06 12:55:28,2022-04-06 17:15:26,1386
199,2022-04-06 13:07:17,2022-04-06 13:14:33,77
200,2022-04-06 13:29:57,2022-04-06 13:49:31,154
201,2022-04-06 14:26:01,2022-04-06 15:13:49,308
202,2022-04-06 14:26:06,2022-04-06 15:13:54,308
203,2022-04-06 14:35:59,2022-04-06 14:56:02,154
204,2022-04-06 15:18:55,2022-04-06 15:27:44,77
205,2022-04-06 15:23:24,2022-04-06 19:58:25,1463
206,2022-04-06 15:26:38,2022-04-06 16:31:20,385
207,2022-04-06 16:01:32,2022-04-06 16:10:21,77
208,2022-04-06 16:12:03,2022-04-06 16:29:01,154
209,2022-04-06 17:31:07,2022-04-06 17:39:25,77
210,2022-04-06 18:17:22,2022-04-06 18:30:26,77
211,2022-04-06 18:24:04,2022-04-06 18:27:14,77
212,2022-04-06 18:25:37,2022-04-06 18:57:32,231
213,2022-04-06 18:47:08,2022-04-06 18:56:21,77
214,2022-04-06 19:24:19,2022-04-06 19:51:52,154
215,2022-04-06 19:24:21,2022-04-06 19:51:48,154
216,2022-04-06 19:35:25,2022-04-06 19:43:41,77
217,2022-04-06 19:49:29,2022-04-06 20:00:13,77
218,2022-04-06 20:27:28,2022-04-06 20:37:17,77
219,2022-04-06 20:53:21,2022-04-06 21:04:10,77
220,2022-04-06 21:31:57,2022-04-06 21:45:19,77
221,2022-04-06 21:59:16,2022-04-06 22:06:56,77
222,2022-04-06 22:04:22,2022-04-06 23:11:47,385
223,2022-04-06 22:34:02,2022-04-06 22:40:38,77
224,2022-04-06 22:45:10,2022-04-06 22:56:25,77
225,2022-04-06 23:09:32,2022-04-06 23:15:24,77
226,2022-04-06 23:14:12,2022-04-06 23:23:14,77
227,2022-04-06 23:31:05,2022-04-06 23:40:56,77
228,2022-04-07 06:34:57,2022-04-07 06:43:55,77
229,2022-04-07 08:03:51,2022-04-07 08:15:39,77
230,2022-04-07 08:26:15,2022-04-07 09:19:49,308
231,2022-04-07 09:35:37,2022-04-07 09:39:24,77
232,2022-04-07 09:38:55,2022-04-07 09:49:28,77
233,2022-04-07 09:42:10,2022-04-07 09:53:31,77
234,2022-04-07 10:21:47,2022-04-07 10:30:38,77
235,2022-04-07 11:21:38,2022-04-07 11:32:05,77
236,2022-04-07 11:36:57,2022-04-07 11:53:27,154
237,2022-04-07 12:00:27,2022-04-07 14:27:27,770
238,2022-04-07 12:00:29,2022-04-07 14:27:13,770
239,2022-04-07 12:08:05,2022-04-07 13:04:37,308
240,2022-04-07 12:40:13,2022-04-07 12:49:29,77
241,2022-04-07 12:44:51,2022-04-07 13:05:02,154
242,2022-04-07 12:52:45,2022-04-07 13:33:36,231
243,2022-04-07 12:59:20,2022-04-07 13:20:16,154
244,2022-04-07 13:02:44,2022-04-07 14:12:17,385
245,2022-04-07 13:12:30,2022-04-07 13:24:32,77
246,2022-04-07 13:59:36,2022-04-07 15:36:41,539
247,2022-04-07 14:01:22,2022-04-07 14:21:15,154
248,2022-04-07 14:44:32,2022-04-07 14:52:50,77
249,2022-04-07 14:51:57,2022-04-07 15:11:11,154
250,2022-04-07 16:09:06,2022-04-07 16:18:33,77
251,2022-04-07 16:10:49,2022-04-07 16:48:57,231
252,2022-04-07 16:35:43,2022-04-07 16:47:09,77
253,2022-04-07 16:40:26,2022-04-07 17:42:50,385
254,2022-04-07 17:08:12,2022-04-07 17:39:30,231
255,2022-04-07 17:43:35,2022-04-07 17:55:21,77
256,2022-04-07 17:55:06,2022-04-07 18:12:48,154
257,2022-04-07 17:57:03,2022-04-07 18:06:45,77
258,2022-04-07 18:10:40,2022-04-07 18:33:58,154
259,2022-04-07 19:25:32,2022-04-07 19:48:41,154
260,2022-04-07 19:38:43,2022-04-07 19:47:55,77
261,2022-04-07 19:50:38,2022-04-07 20:13:43,154
262,2022-04-07 19:57:59,2022-04-07 20:09:51,77
263,2022-04-07 20:28:08,2022-04-07 22:37:16,693
264,2022-04-07 20:37:14,2022-04-07 20:47:27,77
265,2022-04-07 21:08:46,2022-04-07 21:20:55,77
266,2022-04-07 21:32:32,2022-04-07 21:44:52,77
267,2022-04-07 22:37:27,2022-04-07 23:38:46,385
268,2022-04-07 22:54:45,2022-04-07 23:00:16,77
269,2022-04-07 22:58:23,2022-04-07 23:12:14,77
270,2022-04-07 22:59:13,2022-04-07 23:16:17,154
271,2022-04-07 23:05:53,2022-04-07 23:12:16,77
272,2022-04-07 23:58:54,2022-04-08 00:06:30,77
273,2022-04-08 00:12:18,2022-04-08 00:18:27,77
274,2022-04-08 00:12:26,2022-04-08 03:12:18,924
275,2022-04-08 06:04:11,2022-04-08 06:18:01,77
276,2022-04-08 07:48:22,2022-04-08 07:59:03,77
277,2022-04-08 07:49:18,2022-04-08 19:05:07,2578
278,2022-04-08 07:58:50,2022-04-08 08:09:31,77
279,2022-04-08 08:55:00,2022-04-08 09:06:15,77
280,2022-04-08 08:57:24,2022-04-08 09:05:59,77
281,2022-04-08 09:28:26,2022-04-08 09:37:29,77
282,2022-04-08 10:22:31,2022-04-08 10:37:07,77
283,2022-04-08 11:16:16,2022-04-08 11:24:57,77
284,2022-04-08 11:17:08,2022-04-08 11:31:32,77
285,2022-04-08 12:42:59,2022-04-08 13:28:39,308
286,2022-04-08 13:10:39,2022-04-08 13:20:18,77
287,2022-04-08 13:14:24,2022-04-08 13:47:49,231
288,2022-04-08 13:16:47,2022-04-08 13:26:39,77
289,2022-04-08 13:44:38,2022-04-08 13:59:12,77
290,2022-04-08 14:02:58,2022-04-08 15:19:54,462
291,2022-04-08 14:26:55,2022-04-08 14:39:06,77
292,2022-04-08 15:05:32,2022-04-08 15:14:32,77
293,2022-04-08 16:49:40,2022-04-08 17:17:24,154
294,2022-04-08 16:50:09,2022-04-08 16:57:20,77
295,2022-04-08 17:06:32,2022-04-08 17:18:20,77
296,2022-04-08 17:14:18,2022-04-08 17:25:13,77
297,2022-04-08 17:16:23,2022-04-08 17:23:27,77
298,2022-04-08 17:23:41,2022-04-08 17:35:58,77
299,2022-04-08 17:44:23,2022-04-08 18:57:14,385
300,2022-04-08 18:06:14,2022-04-08 18:14:35,77
301,2022-04-08 18:42:42,2022-04-08 19:26:16,231
302,2022-04-08 19:27:55,2022-04-08 19:40:35,77
303,2022-04-08 19:51:48,2022-04-08 20:00:41,77
304,2022-04-08 19:58:42,2022-04-08 20:04:44,77
305,2022-04-08 20:12:01,2022-04-08 20:26:34,77
306,2022-04-08 20:26:40,2022-04-08 22:08:59,539
307,2022-04-08 21:13:30,2022-04-08 23:44:54,847
308,2022-04-08 21:13:39,2022-04-08 23:45:14,847
309,2022-04-08 21:30:55,2022-04-08 21:39:14,77
310,2022-04-08 21:31:29,2022-04-08 21:42:13,77
311,2022-04-08 22:44:25,2022-04-08 22:58:29,77
312,2022-04-08 22:54:48,2022-04-08 23:02:24,77
313,2022-04-08 23:27:06,2022-04-08 23:40:50,77
314,2022-04-09 01:09:34,2022-04-09 01:33:46,154
315,2022-04-09 05:14:25,2022-04-09 05:28:34,77
316,2022-04-09 06:42:17,2022-04-09 08:13:38,539
317,2022-04-09 06:55:44,2022-04-09 11:01:51,1309
318,2022-04-09 06:57:12,2022-04-09 11:01:49,1309
319,2022-04-09 07:45:51,2022-04-09 08:29:54,231
320,2022-04-09 08:11:43,2022-04-09 08:22:36,77
321,2022-04-09 08:33:51,2022-04-09 13:58:05,1500
322,2022-04-09 08:49:44,2022-04-09 08:57:59,77
323,2022-04-09 09:14:48,2022-04-09 09:49:57,231
324,2022-04-09 09:26:00,2022-04-09 12:33:09,1001
325,2022-04-09 09:28:05,2022-04-09 13:00:44,1155
326,2022-04-09 09:29:48,2022-04-09 13:01:17,1155
327,2022-04-09 09:36:42,2022-04-09 09:44:33,77
328,2022-04-09 09:53:14,2022-04-09 10:05:38,77
329,2022-04-09 11:02:00,2022-04-09 18:30:04,1500
330,2022-04-09 11:04:30,2022-04-09 11:12:49,77
331,2022-04-09 11:15:59,2022-04-09 15:31:20,1386
332,2022-04-09 11:19:15,2022-04-09 17:52:32,1500
333,2022-04-09 11:20:54,2022-04-09 16:02:41,1463
334,2022-04-09 11:23:38,2022-04-09 11:31:27,77
335,2022-04-09 11:32:59,2022-04-09 11:36:49,77
336,2022-04-09 12:26:43,2022-04-09 16:12:16,1232
337,2022-04-09 12:27:06,2022-04-09 13:19:30,308
338,2022-04-09 12:32:56,2022-04-09 14:18:22,616
339,2022-04-09 12:37:16,2022-04-09 12:50:08,77
340,2022-04-09 13:09:10,2022-04-09 13:17:42,77
341,2022-04-09 13:09:59,2022-04-09 13:21:01,77
342,2022-04-09 13:23:17,2022-04-09 13:31:00,77
343,2022-04-09 13:29:41,2022-04-09 13:41:37,77
344,2022-04-09 13:58:39,2022-04-09 15:36:45,539
345,2022-04-09 14:37:41,2022-04-09 16:01:24,462
346,2022-04-09 14:37:42,2022-04-09 16:01:24,462
347,2022-04-09 14:46:39,2022-04-09 17:22:26,847
348,2022-04-09 14:49:07,2022-04-09 16:22:30,539
349,2022-04-09 14:49:12,2022-04-09 16:22:32,539
350,2022-04-09 14:49:16,2022-04-09 16:22:20,539
351,2022-04-09 15:28:49,2022-04-09 15:46:50,154
352,2022-04-09 16:01:50,2022-04-09 16:10:35,77
353,2022-04-09 16:02:11,2022-04-09 16:07:01,77
354,2022-04-09 16:08:14,2022-04-09 16:19:45,77
355,2022-04-09 16:21:08,2022-04-09 16:30:27,77
356,2022-04-09 16:22:55,2022-04-09 16:33:24,77
357,2022-04-09 16:23:00,2022-04-09 16:33:20,77
358,2022-04-09 16:36:20,2022-04-09 16:41:26,77
359,2022-04-09 16:49:26,2022-04-09 17:10:47,154
360,2022-04-09 16:49:51,2022-04-09 17:10:46,154
361,2022-04-09 16:54:34,2022-04-09 17:04:57,77
362,2022-04-09 16:55:30,2022-04-09 17:52:51,308
363,2022-04-09 17:19:37,2022-04-09 17:30:51,77
364,2022-04-09 17:44:34,2022-04-09 17:58:41,77
365,2022-04-09 17:58:21,2022-04-09 18:08:19,77
366,2022-04-09 17:59:43,2022-04-09 18:08:24,77
367,2022-04-09 18:03:52,2022-04-09 18:21:46,154
368,2022-04-09 19:08:53,2022-04-09 19:38:40,154
369,2022-04-09 19:49:18,2022-04-09 19:57:45,77
370,2022-04-09 20:22:13,2022-04-09 20:31:10,77
371,2022-04-09 20:39:19,2022-04-09 20:58:50,154
372,2022-04-09 20:40:06,2022-04-09 20:57:58,154
373,2022-04-09 20:44:06,2022-04-09 20:58:57,77
374,2022-04-09 20:46:12,2022-04-09 20:58:07,77
375,2022-04-09 20:56:46,2022-04-09 21:09:45,77
376,2022-04-09 21:36:53,2022-04-09 21:46:54,77
377,2022-04-09 21:50:07,2022-04-09 22:08:03,154
378,2022-04-09 22:09:05,2022-04-09 22:17:38,77
379,2022-04-09 22:09:11,2022-04-09 22:17:52,77
380,2022-04-09 22:34:11,2022-04-09 22:47:06,77
381,2022-04-09 22:41:36,2022-04-09 22:51:21,77
382,2022-04-09 22:45:37,2022-04-09 23:16:38,231
383,2022-04-09 22:46:15,2022-04-09 22:56:22,77
384,2022-04-09 22:47:04,2022-04-09 23:11:00,154
385,2022-04-09 22:48:43,2022-04-09 22:55:42,77
386,2022-04-09 22:49:52,2022-04-09 22:59:22,77
387,2022-04-09 23:18:52,2022-04-09 23:30:16,77
388,2022-04-10 00:01:55,2022-04-10 00:23:40,154
389,2022-04-10 00:47:53,2022-04-10 01:00:11,77
390,2022-04-10 09:27:12,2022-04-10 09:48:49,154
391,2022-04-10 09:55:15,2022-04-10 13:41:07,1232
392,2022-04-10 09:58:24,2022-04-10 10:10:59,77
393,2022-04-10 10:11:03,2022-04-10 13:41:29,1155
394,2022-04-10 10:14:31,2022-04-10 10:40:51,154
395,2022-04-10 10:14:40,2022-04-10 10:40:56,154
396,2022-04-10 10:18:25,2022-04-10 11:30:52,385
397,2022-04-10 10:18:28,2022-04-10 16:29:29,1500
398,2022-04-10 10:18:54,2022-04-10 11:42:31,462
399,2022-04-10 10:27:41,2022-04-10 10:38:59,77
400,2022-04-10 10:36:07,2022-04-10 11:03:13,154
401,2022-04-10 10:44:47,2022-04-10 19:21:26,1731
402,2022-04-10 11:32:57,2022-04-10 12:54:42,462
403,2022-04-10 11:38:08,2022-04-10 11:46:20,77
404,2022-04-10 11:39:33,2022-04-10 11:49:24,77
405,2022-04-10 12:07:59,2022-04-10 12:13:25,77
406,2022-04-10 12:15:54,2022-04-10 12:42:09,154
407,2022-04-10 12:16:00,2022-04-10 12:42:13,154
408,2022-04-10 12:35:56,2022-04-10 12:57:33,154
409,2022-04-10 12:38:16,2022-04-10 12:58:23,154
410,2022-04-10 13:03:39,2022-04-10 15:06:18,693
411,2022-04-10 13:06:24,2022-04-10 13:19:59,77
412,2022-04-10 13:14:16,2022-04-10 13:26:21,77
413,2022-04-10 13:21:07,2022-04-10 13:32:00,77
414,2022-04-10 13:24:09,2022-04-10 13:59:54,231
415,2022-04-10 13:25:04,2022-04-10 15:00:17,231
416,2022-04-10 13:26:18,2022-04-10 14:00:01,231
417,2022-04-10 13:28:53,2022-04-10 13:44:44,154
418,2022-04-10 13:57:26,2022-04-10 16:36:45,847
419,2022-04-10 14:22:16,2022-04-10 14:31:34,77
420,2022-04-10 14:35:30,2022-04-10 14:49:10,77
421,2022-04-10 14:58:13,2022-04-10 15:20:22,154
422,2022-04-10 14:58:21,2022-04-10 15:20:30,154
423,2022-04-10 15:04:21,2022-04-10 17:49:28,924
424,2022-04-10 15:07:34,2022-04-10 15:23:35,154
425,2022-04-10 15:07:37,2022-04-10 15:24:25,154
426,2022-04-10 15:17:46,2022-04-10 15:40:51,154
427,2022-04-10 15:28:59,2022-04-10 15:41:01,77
428,2022-04-10 15:54:02,2022-04-10 16:03:07,77
429,2022-04-10 16:02:06,2022-04-10 16:15:51,77
430,2022-04-10 16:02:15,2022-04-10 16:16:18,77
431,2022-04-10 16:11:17,2022-04-10 16:34:04,154
432,2022-04-10 16:32:26,2022-04-10 16:48:04,154
433,2022-04-10 17:41:54,2022-04-10 18:00:31,154
434,2022-04-10 17:45:00,2022-04-10 19:41:19,616
435,2022-04-10 18:10:46,2022-04-10 18:20:41,77
436,2022-04-10 18:36:19,2022-04-10 22:54:04,77
437,2022-04-10 20:07:24,2022-04-10 20:17:06,77
438,2022-04-10 20:58:30,2022-04-10 21:35:55,231
439,2022-04-10 21:06:04,2022-04-10 21:13:30,77
440,2022-04-10 22:11:24,2022-04-10 22:25:47,77
441,2022-04-10 23:58:28,2022-04-11 00:11:30,77
442,2022-04-11 06:53:02,2022-04-11 07:02:45,77
443,2022-04-11 07:57:53,2022-04-11 09:12:02,385
444,2022-04-11 08:11:08,2022-04-11 08:27:06,154
445,2022-04-11 08:58:26,2022-04-11 09:05:29,77
446,2022-04-11 09:40:39,2022-04-11 13:14:20,1155
447,2022-04-11 09:49:06,2022-04-11 17:38:27,1500
448,2022-04-11 10:27:43,2022-04-11 11:02:00,231
449,2022-04-11 10:45:52,2022-04-11 10:56:59,77
450,2022-04-11 10:46:49,2022-04-11 11:04:09,154
451,2022-04-11 11:06:07,2022-04-11 11:52:56,308
452,2022-04-11 11:08:05,2022-04-11 11:32:35,154
453,2022-04-11 11:10:26,2022-04-11 11:22:23,77
454,2022-04-11 11:20:25,2022-04-11 13:21:50,693
455,2022-04-11 11:24:35,2022-04-11 13:07:53,539
456,2022-04-11 11:42:50,2022-04-11 11:55:24,77
457,2022-04-11 12:29:13,2022-04-11 12:44:34,154
458,2022-04-11 12:33:50,2022-04-11 19:03:24,1500
459,2022-04-11 12:46:17,2022-04-11 15:15:51,770
460,2022-04-11 13:29:17,2022-04-11 13:39:47,77
461,2022-04-11 13:32:23,2022-04-11 14:38:38,385
462,2022-04-11 14:15:06,2022-04-11 14:20:08,77
463,2022-04-11 14:34:55,2022-04-11 14:47:59,77
